s,Pc
596.0,0.0001459289902131239
597.0,0.0001454161450367651
598.0,0.0001449059559766448
599.0,0.0001443984048690363
600.0,0.000143893473704463
601.0,0.00014339114462613394
602.0,0.0001428913999283985
603.0,0.00014239422205521862
604.0,0.00014189959359865915
605.0,0.00014140749729739608
606.0,0.00014091791603524192
607.0,0.00014043083283968874
608.0,0.0001399462308804677
609.0,0.0001394640934681257
610.0,0.00013898440405261855
611.0,0.0001385071462219204
612.0,0.0001380323037006492
613.0,0.00013755986034870825
614.0,0.00013708980015994342
615.0,0.00013662210726081574
616.0,0.00013615676590908929
617.0,0.00013569376049253433
618.0,0.00013523307552764518
619.0,0.00013477469565837267
620.0,0.00013431860565487158
621.0,0.00013386479041226166
622.0,0.00013341323494940352
623.0,0.00013296392440768784
624.0,0.00013251684404983887
625.0,0.000132071979258731
626.0,0.00013162931553621917
627.0,0.0001311888385019823
628.0,0.00013075053389237986
629.0,0.00013031438755932117
630.0,0.00012988038546914767
631.0,0.0001294485137015277
632.0,0.00012901875844836353
633.0,0.00012859110601271063
634.0,0.00012816554280770958
635.0,0.0001277420553555289
636.0,0.00012732063028632063
637.0,0.00012690125433718712
638.0,0.00012648391435115923
639.0,0.00012606859727618602
640.0,0.00012565529016413565
641.0,0.00012524398016980736
642.0,0.00012483465454995408
643.0,0.00012442730066231626
644.0,0.0001240219059646661
645.0,0.0001236184580138622
646.0,0.00012321694446491485
647.0,0.00012281735307006128
648.0,0.0001224196716778514
649.0,0.0001220238882322431
650.0,0.00012162999077170777
651.0,0.00012123796742834542
652.0,0.00012084780642700931
653.0,0.00012045949608444053
654.0,0.00012007302480841133
655.0,0.00011968838109687827
656.0,0.00011930555353714426
657.0,0.00011892453080502967
658.0,0.00011854530166405251
659.0,0.00011816785496461719
660.0,0.00011779217964321235
661.0,0.00011741826472161688
662.0,0.00011704609930611488
663.0,0.00011667567258671861
664.0,0.00011630697383640001
665.0,0.0001159399924103305
666.0,0.00011557471774512846
667.0,0.00011521113935811515
668.0,0.00011484924684657833
669.0,0.0001144890298870437
670.0,0.00011413047823455404
671.0,0.00011377358172195608
672.0,0.00011341833025919478
673.0,0.0001130647138326151
674.0,0.00011271272250427107
675.0,0.00011236234641124224
676.0,0.00011201357576495721
677.0,0.00011166640085052412
678.0,0.00011132081202606855
679.0,0.00011097679972207784
680.0,0.00011063435444075264
681.0,0.00011029346675536497
682.0,0.00010995412730962313
683.0,0.00010961632681704303
684.0,0.00010928005606032626
685.0,0.00010894530589074436
686.0,0.00010861206722752965
687.0,0.00010828033105727227
688.0,0.00010795008843332343
689.0,0.00010762133047520474
690.0,0.00010729404836802395
691.0,0.00010696823336189603
692.0,0.00010664387677137099
693.0,0.00010632096997486692
694.0,0.00010599950441410906
695.0,0.0001056794715935747
696.0,0.00010536086307994355
697.0,0.00010504367050155385
698.0,0.00010472788554786387
699.0,0.00010441349996891901
700.0,0.00010410050557482424
701.0,0.00010378889423522184
702.0,0.00010347865787877452
703.0,0.00010316978849265359
704.0,0.0001028622781220325
705.0,0.00010255611886958538
706.0,0.00010225130289499048
707.0,0.00010194782241443883
708.0,0.00010164566970014768
709.0,0.0001013448370798789
710.0,0.00010104531693646196
711.0,0.00010074710170732208
712.0,0.00010045018388401273
713.0,0.00010015455601175284
714.0,9.986021068896878e-05
715.0,9.956714056684071e-05
716.0,9.927533834885349e-05
717.0,9.898479679035208e-05
718.0,9.86955086981012e-05
719.0,9.840746692984949e-05
720.0,9.812066439389782e-05
721.0,9.783509404867205e-05
722.0,9.755074890229968e-05
723.0,9.726762201219102e-05
724.0,9.698570648462413e-05
725.0,9.670499547433407e-05
726.0,9.642548218410594e-05
727.0,9.614715986437216e-05
728.0,9.587002181281344e-05
729.0,9.559406137396379e-05
730.0,9.53192719388192e-05
731.0,9.504564694445028e-05
732.0,9.47731798736186e-05
733.0,9.450186425439675e-05
734.0,9.4231693659792e-05
735.0,9.396266170737372e-05
736.0,9.369476205890425e-05
737.0,9.342798841997349e-05
738.0,9.316233453963681e-05
739.0,9.289779421005661e-05
740.0,9.263436126614721e-05
741.0,9.237202958522319e-05
742.0,9.211079308665106e-05
743.0,9.185064573150429e-05
744.0,9.15915815222215e-05
745.0,9.133359450226827e-05
746.0,9.107667875580164e-05
747.0,9.082082840733824e-05
748.0,9.056603762142528e-05
749.0,9.031230060231488e-05
750.0,9.005961159364132e-05
751.0,8.980796487810141e-05
752.0,8.95573547771378e-05
753.0,8.930777565062542e-05
754.0,8.905922189656077e-05
755.0,8.881168795075402e-05
756.0,8.856516828652431e-05
757.0,8.831965741439756e-05
758.0,8.807514988180735e-05
759.0,8.783164027279856e-05
760.0,8.758912320773353e-05
761.0,8.734759334300139e-05
762.0,8.710704537072976e-05
763.0,8.686747401849918e-05
764.0,8.662887404906035e-05
765.0,8.639124026005386e-05
766.0,8.61545674837325e-05
767.0,8.591885058668625e-05
768.0,8.568408446956966e-05
769.0,8.545026406683194e-05
770.0,8.521738434644935e-05
771.0,8.498544030966018e-05
772.0,8.4754426990702e-05
773.0,8.452433945655165e-05
774.0,8.429517280666715e-05
775.0,8.406692217273241e-05
776.0,8.383958271840407e-05
777.0,8.361314963906053e-05
778.0,8.338761816155355e-05
779.0,8.316298354396193e-05
780.0,8.293924107534747e-05
781.0,8.271638607551311e-05
782.0,8.249441389476335e-05
783.0,8.227331991366677e-05
784.0,8.205309954282076e-05
785.0,8.183374822261828e-05
786.0,8.161526142301678e-05
787.0,8.139763464330931e-05
788.0,8.11808634118975e-05
789.0,8.096494328606661e-05
790.0,8.074986985176285e-05
791.0,8.053563872337234e-05
792.0,8.032224554350226e-05
793.0,8.010968598276395e-05
794.0,7.989795573955787e-05
795.0,7.968705053986058e-05
796.0,7.947696613701351e-05
797.0,7.926769831151365e-05
798.0,7.905924287080617e-05
799.0,7.88515956490788e-05
800.0,7.864475250705806e-05
801.0,7.843870933180725e-05
802.0,7.823346203652634e-05
803.0,7.802900656035353e-05
804.0,7.782533886816857e-05
805.0,7.762245495039785e-05
806.0,7.742035082282122e-05
807.0,7.721902252638037e-05
808.0,7.701846612698915e-05
809.0,7.681867771534533e-05
810.0,7.661965340674403e-05
811.0,7.642138934089292e-05
812.0,7.62238816817289e-05
813.0,7.60271266172365e-05
814.0,7.583112035926764e-05
815.0,7.563585914336328e-05
816.0,7.544133922857638e-05
817.0,7.524755689729645e-05
818.0,7.505450845507568e-05
819.0,7.486219023045648e-05
820.0,7.467059857480068e-05
821.0,7.447972986211996e-05
822.0,7.428958048890798e-05
823.0,7.410014687397382e-05
824.0,7.391142545827689e-05
825.0,7.37234127047633e-05
826.0,7.353610509820348e-05
827.0,7.334949914503146e-05
828.0,7.316359137318532e-05
829.0,7.297837833194899e-05
830.0,7.27938565917956e-05
831.0,7.261002274423194e-05
832.0,7.24268734016444e-05
833.0,7.224440519714615e-05
834.0,7.206261478442567e-05
835.0,7.188149883759651e-05
836.0,7.170105405104837e-05
837.0,7.15212771392994e-05
838.0,7.134216483684981e-05
839.0,7.116371389803667e-05
840.0,7.098592109688995e-05
841.0,7.080878322698977e-05
842.0,7.063229710132486e-05
843.0,7.045645955215224e-05
844.0,7.028126743085798e-05
845.0,7.01067176078193e-05
846.0,6.993280697226763e-05
847.0,6.975953243215297e-05
848.0,6.958689091400925e-05
849.0,6.941487936282107e-05
850.0,6.92434947418911e-05
851.0,6.907273403270916e-05
852.0,6.890259423482186e-05
853.0,6.873307236570366e-05
854.0,6.85641654606289e-05
855.0,6.839587057254484e-05
856.0,6.822818477194582e-05
857.0,6.806110514674848e-05
858.0,6.789462880216794e-05
859.0,6.7728752860595e-05
860.0,6.756347446147452e-05
861.0,6.739879076118447e-05
862.0,6.72346989329164e-05
863.0,6.707119616655649e-05
864.0,6.690827966856788e-05
865.0,6.674594666187375e-05
866.0,6.658419438574155e-05
867.0,6.642302009566799e-05
868.0,6.626242106326509e-05
869.0,6.610239457614716e-05
870.0,6.594293793781864e-05
871.0,6.578404846756285e-05
872.0,6.562572350033178e-05
873.0,6.546796038663659e-05
874.0,6.53107564924391e-05
875.0,6.515410919904411e-05
876.0,6.49980159029928e-05
877.0,6.484247401595655e-05
878.0,6.468748096463212e-05
879.0,6.453303419063731e-05
880.0,6.437913115040765e-05
881.0,6.422576931509385e-05
882.0,6.407294617046008e-05
883.0,6.392065921678311e-05
884.0,6.376890596875224e-05
885.0,6.361768395536992e-05
886.0,6.346699071985341e-05
887.0,6.331682381953696e-05
888.0,6.316718082577504e-05
889.0,6.301805932384599e-05
890.0,6.286945691285686e-05
891.0,6.272137120564861e-05
892.0,6.257379982870244e-05
893.0,6.242674042204646e-05
894.0,6.22801906391635e-05
895.0,6.213414814689937e-05
896.0,6.198861062537191e-05
897.0,6.184357576788085e-05
898.0,6.169904128081836e-05
899.0,6.155500488358014e-05
900.0,6.141146430847746e-05
901.0,6.126841730064971e-05
902.0,6.11258616179777e-05
903.0,6.098379503099769e-05
904.0,6.084221532281595e-05
905.0,6.070112028902422e-05
906.0,6.056050773761558e-05
907.0,6.042037548890113e-05
908.0,6.0280721375427335e-05
909.0,6.0141543241893905e-05
910.0,6.0002838945072394e-05
911.0,5.986460635372543e-05
912.0,5.9726843348526576e-05
913.0,5.958954782198074e-05
914.0,5.945271767834532e-05
915.0,5.9316350833551866e-05
916.0,5.9180445215128394e-05
917.0,5.9044998762122315e-05
918.0,5.8910009425023875e-05
919.0,5.877547516569031e-05
920.0,5.8641393957270496e-05
921.0,5.850776378413022e-05
922.0,5.837458264177797e-05
923.0,5.8241848536791396e-05
924.0,5.810955948674424e-05
925.0,5.7977713520133864e-05
926.0,5.784630867630938e-05
927.0,5.771534300540022e-05
928.0,5.758481456824536e-05
929.0,5.745472143632302e-05
930.0,5.73250616916809e-05
931.0,5.719583342686707e-05
932.0,5.706703474486112e-05
933.0,5.6938663759006156e-05
934.0,5.6810718592941065e-05
935.0,5.66831973805334e-05
936.0,5.655609826581276e-05
937.0,5.642941940290473e-05
938.0,5.630315895596513e-05
939.0,5.617731509911504e-05
940.0,5.605188601637609e-05
941.0,5.59268699016063e-05
942.0,5.5802264958436504e-05
943.0,5.5678069400207076e-05
944.0,5.55542814499053e-05
945.0,5.54308993401031e-05
946.0,5.530792131289522e-05
947.0,5.518534561983807e-05
948.0,5.506317052188869e-05
949.0,5.494139428934452e-05
950.0,5.4820015201783375e-05
