s,Pc
356.0,0.16034
357.0,0.16034
358.0,0.16034
359.0,0.16034
360.0,0.16034
361.0,0.16034
362.0,0.16034
363.0,0.16034
364.0,0.16034
365.0,0.16034
366.0,0.16034
367.0,0.16034
368.0,0.16034
369.0,0.16034
370.0,0.16034
371.0,0.16034
372.0,0.16034
373.0,0.16034
374.0,0.16034
375.0,0.16034
376.0,0.16034
377.0,0.16034
378.0,0.16034
379.0,0.16034
380.0,0.16034
381.0,0.16034
382.0,0.16034
383.0,0.16034
384.0,0.16034
385.0,0.16034
386.0,0.16034
387.0,0.16034
388.0,0.16034
389.0,0.16034
390.0,0.16034
391.0,0.16034
392.0,0.16034
393.0,0.16034
394.0,0.16034
395.0,0.16034
396.0,0.16034
397.0,0.16034
398.0,0.16034
399.0,0.16034
400.0,0.16034
401.0,0.16034
402.0,0.16034
403.0,0.16034
404.0,0.16034
405.0,0.16034
406.0,0.16034
407.0,0.16034
408.0,0.16034
409.0,0.16034
410.0,0.16034
411.0,0.16034
412.0,0.16034
413.0,0.16034
414.0,0.16034
415.0,0.16034
416.0,0.16034
417.0,0.16034
418.0,0.16034
419.0,0.16034
420.0,0.16034
421.0,0.16034
422.0,0.16034
423.0,0.16034
424.0,0.16034
425.0,0.16034
426.0,0.16034
427.0,0.16034
428.0,0.16034
429.0,0.16034
430.0,0.16034
431.0,0.16034
432.0,0.16034
433.0,0.16034
434.0,0.16034
435.0,0.16034
436.0,0.16034
437.0,0.16034
438.0,0.16034
439.0,0.16034
440.0,0.16034
441.0,0.16034
442.0,0.16034
443.0,0.16034
444.0,0.16034
445.0,0.16034
446.0,0.16034
447.0,0.16034
448.0,0.16034
449.0,0.16034
450.0,0.16034
451.0,0.16034
452.0,0.16034
453.0,0.16034
454.0,0.16034
455.0,0.16034
456.0,0.16034
457.0,0.16034
458.0,0.16034
459.0,0.16034
460.0,0.16034
461.0,0.16034
462.0,0.16034
463.0,0.16034
464.0,0.16034
465.0,0.16034
466.0,0.16034
467.0,0.16034
468.0,0.16034
469.0,0.16034
470.0,0.16034
471.0,0.16034
472.0,0.16034
473.0,0.16034
474.0,0.16034
475.0,0.16034
476.0,0.16034
477.0,0.16034
478.0,0.16034
479.0,0.16034
480.0,0.16034
481.0,0.16034
482.0,0.16034
483.0,0.16034
